REGIAO;UF;VALOR
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
CENTRO-OESTE;MT;1346
NORDESTE;AL;1346
NORDESTE;AL;1346
NORDESTE;AL;1346
NORDESTE;AL;1346
NORDESTE;AL;1346
NORDESTE;AL;1346
NORDESTE;AL;1346
NORDESTE;AL;1346
NORDESTE;AL;1346
NORDESTE;AL;1346
NORDESTE;AL;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
NORDESTE;BA;1346
