http://www.bdg.ibge.gov.br/bdg/pdf/relatorio.asp?L1=;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
Região;Unidade da Federação (UF);Latitude;Longitude
NORDESTE;BA;-12,5423854;-38,4613509
NORDESTE;BA;-13,0082727;-38,5116853
NORDESTE;BA;-14,2035484;-42,7576680
NORDESTE;BA;-14,2158143;-42,8431819
NORDESTE;BA;-13,3414050;-44,6372649
NORDESTE;BA;-13,3215095;-44,6361369
NORDESTE;BA;-12,1649782;-45,0086262
NORDESTE;BA;-09,6123565;-42,0925021
NORDESTE;BA;-09,5768209;-42,1313250
NORDESTE;BA;-09,4701429;-40,5445100
NORDESTE;BA;-09,4896271;-40,8081910
NORDESTE;BA;-09,4101911;-40,8163392
NORDESTE;BA;-09,4294855;-40,8266698
NORDESTE;BA;-12,8919745;-38,3159761
NORDESTE;BA;-12,8984334;-38,2972217
NORDESTE;BA;-12,9059635;-38,3032207
NORDESTE;BA;-12,9603128;-38,3966098
NORDESTE;BA;-12,9686387;-38,4106762
NORDESTE;BA;-12,9910896;-38,4399821
NORDESTE;BA;-12,9982313;-38,4461945
NORDESTE;BA;-13,0112491;-38,5079813
NORDESTE;BA;-13,0108293;-38,5239023
NORDESTE;BA;-12,9740034;-38,5145694
NORDESTE;BA;-12,9206071;-38,3535872
NORDESTE;BA;-12,9230627;-38,3601638
NORDESTE;BA;-13,0086699;-38,5123591
NORDESTE;BA;-12,9496288;-38,4321681
NORDESTE;BA;-12,9611990;-38,4336019
NORDESTE;BA;-12,9788417;-38,4653480
NORDESTE;BA;-12,9775918;-38,5025690
NORDESTE;BA;-12,9317533;-38,3910944
NORDESTE;BA;-12,9549196;-38,4286551
NORDESTE;BA;-11,0318338;-38,8109345
NORDESTE;BA;-10,5608273;-38,9900793
NORDESTE;BA;-09,8507260;-39,1432009
NORDESTE;BA;-11,0827216;-38,5091818
NORDESTE;BA;-09,9362676;-38,7482038
NORDESTE;BA;-10,0851945;-38,2827525
NORDESTE;BA;-10,5354930;-38,3840218
NORDESTE;BA;-10,7011982;-38,1989951
NORDESTE;BA;-10,2007593;-37,8673678
NORDESTE;BA;-10,8926479;-38,5099616
NORDESTE;BA;-12,0739443;-38,9696408
NORDESTE;BA;-11,6757042;-38,9961985
NORDESTE;BA;-12,1654128;-38,4757678
NORDESTE;BA;-12,6134014;-38,6555410
NORDESTE;BA;-12,9745676;-39,2250972
NORDESTE;BA;-11,5560898;-38,1339310
NORDESTE;BA;-11,6261229;-38,3013549
NORDESTE;BA;-12,6509431;-38,3387953
NORDESTE;BA;-14,2140654;-39,5219478
NORDESTE;BA;-13,8779983;-40,0695030
NORDESTE;BA;-12,2392360;-38,9797852
NORDESTE;BA;-12,9462672;-38,4228761
NORDESTE;BA;-12,2169064;-37,8324808
NORDESTE;BA;-12,9738338;-38,5174020
NORDESTE;BA;-12,9738984;-38,5172499
NORDESTE;BA;-13,6404561;-39,4874341
NORDESTE;BA;-15,2419476;-40,3270233
NORDESTE;BA;-15,9664204;-39,5265592
NORDESTE;BA;-17,0264772;-39,5400086
NORDESTE;BA;-18,0774283;-39,5453923
NORDESTE;BA;-11,7967665;-39,4105867
NORDESTE;BA;-10,6658780;-39,5183272
NORDESTE;BA;-11,3626337;-40,0135401
NORDESTE;BA;-11,9590189;-40,1676435
NORDESTE;BA;-13,4124647;-44,7209567
NORDESTE;BA;-12,7935782;-45,9517289
NORDESTE;BA;-12,4303571;-45,0843849
NORDESTE;BA;-12,7091994;-44,5658912
NORDESTE;BA;-11,5026769;-44,9571251
NORDESTE;BA;-10,8714528;-45,1451296
NORDESTE;BA;-11,8656927;-42,6989047
NORDESTE;BA;-12,9549689;-38,4283780
NORDESTE;BA;-14,6014685;-41,1626376
NORDESTE;BA;-14,5961249;-41,2394554
NORDESTE;BA;-14,5575637;-41,1555372
NORDESTE;BA;-14,4028071;-41,1148744
NORDESTE;BA;-14,3028851;-41,1503790
NORDESTE;BA;-14,2058803;-41,2073141
NORDESTE;BA;-14,0804289;-41,1865339
NORDESTE;BA;-13,9901660;-41,1367571
NORDESTE;BA;-10,8375283;-40,1129166
NORDESTE;BA;-10,2360891;-40,2039409
NORDESTE;BA;-11,0594404;-42,3108742
NORDESTE;BA;-10,8990594;-42,7242355
NORDESTE;BA;-12,1717232;-43,1984607
NORDESTE;BA;-12,3655276;-42,4567360
NORDESTE;BA;-12,9841400;-44,0492014
NORDESTE;BA;-13,6096439;-42,9410015
NORDESTE;BA;-13,7686736;-42,7210529
NORDESTE;BA;-13,5949831;-41,3673194
NORDESTE;BA;-14,1200692;-40,2301735
NORDESTE;BA;-13,8508161;-41,0643108
NORDESTE;BA;-13,7258124;-40,9789985
NORDESTE;BA;-13,6805145;-40,9103314
NORDESTE;BA;-13,6148186;-40,8008254
NORDESTE;BA;-13,5382534;-40,6531872
NORDESTE;BA;-13,5362179;-40,5541249
NORDESTE;BA;-13,6125856;-40,4776933
NORDESTE;BA;-13,6950820;-40,3925343
NORDESTE;BA;-13,7480961;-40,2985502
NORDESTE;BA;-13,8329311;-40,1999269
NORDESTE;BA;-13,8834425;-40,0323849
NORDESTE;BA;-13,8555832;-40,1819365
NORDESTE;BA;-15,0982211;-39,9958874
NORDESTE;BA;-14,2096737;-42,0894529
NORDESTE;BA;-12,1346806;-39,3381197
NORDESTE;BA;-11,9589688;-37,9530835
NORDESTE;BA;-11,8204500;-37,6353044
NORDESTE;BA;-09,7217988;-38,2372965
NORDESTE;BA;-11,1703175;-40,5412291
NORDESTE;BA;-14,0087032;-39,9074563
NORDESTE;BA;-14,0508989;-39,8122570
NORDESTE;BA;-14,1445066;-39,7147333
NORDESTE;BA;-14,1958804;-39,6258377
NORDESTE;BA;-12,9680114;-38,5202266
NORDESTE;BA;-12,9738813;-38,5172273
NORDESTE;BA;-12,9734804;-38,5148774
NORDESTE;BA;-12,9688599;-38,5125574
NORDESTE;BA;-11,1990707;-38,8718032
NORDESTE;BA;-09,0765876;-39,0369313
NORDESTE;BA;-17,4058741;-40,2222030
NORDESTE;BA;-14,6158795;-42,3237881
NORDESTE;BA;-13,6853605;-44,4654682
NORDESTE;BA;-13,5137764;-44,2501460
NORDESTE;BA;-14,5983630;-39,3321882
NORDESTE;BA;-11,6772093;-40,8509281
NORDESTE;BA;-11,5541203;-40,6880959
NORDESTE;BA;-12,1366918;-40,3600203
NORDESTE;BA;-12,4574411;-41,6416379
NORDESTE;BA;-15,0520092;-38,9986427
NORDESTE;BA;-14,7716447;-39,0258580
NORDESTE;BA;-14,4171008;-39,3264977
NORDESTE;BA;-14,7428369;-39,0803203
NORDESTE;BA;-14,5991652;-41,3040823
